Fecha:,08/07/2022 19:05,,,,,
Operador,Nombre plan,Descripción,Fecha validez,Cifra descuento,Tipo descuento,Destinatario
BP OIL ESPAÑA S.A.,Ahorro Mi BP,Cada vez que repostas en BP acumulas un ahorro de 3 céntimos por litro en el ValeAhorroBP. Durante tres meses irás acumulando 3 céntimos en todos tus repostajes. Al final de cada trimestre obtendrás tu ValeAhorroBP que podrás utilizar durante el mes siguiente como medio de pago de carburante en toda la red de Estaciones de Servicio BP. Podrás solicitar tu ValeAhorroBP en tu Estación de Servicio habitual.,,3.000,Céntimos de euro en cada litro,Todos los consumidores
CARREFOUR,CLUB CARREFOUR Y VISA PASS,ACUMULACIÓN DEL 8% DEL TOTAL DEL REPOSTAJE PARA REALIZAR COMPRAS EN NUESTRAS TIENDAS MEDIANTE CHEQUE AHORRO TRIMESTRAL,,8.000,Porcentaje sobre el precio total,Todos los consumidores
CHAMPION,CLUB CARREFOUR Y VISA PASS,"ACUMULACIÓN DEL 8% DEL TOTAL DEL REPOSTAJE PARA REALIZAR COMPRAS EN UESTRAS TIENDAS, MEDIANTE EL CHEQUE AHORRO TRIMESTRAL",,8.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",EUROSHELL Nacional,Tarjeta comercial de pago con DESCUENTO A PARTIR DE 2 CTMS en las estaciones de Shell en Peninsula,,2.000,Céntimos de euro en cada litro,"Colectivos (taxis, flotas de vehículos, etc.)"
"DISA PENINSULA, S.L.U",EUROSHELL Nacional,Tarjeta comercial de pago con DESCUENTO A PARTIR DE 2 CTMS en las estaciones de Shell en Peninsula,,2.000,Céntimos de euro en cada litro,Transportistas profesionales
"DISA PENINSULA, S.L.U",SHELL CLUBSMART (Tarjeta promocional de regalos o descuentos),Cheque descuento 5€ por cada 1000lt o puntos redimibles equivalentes,,0.500,Céntimos de euro en cada litro,Todos los consumidores
"DISA PENINSULA, S.L.U",Descuento a Clientes ING,Promoción 3% Descuento a Clientes ING en Estaciones de Servicio Shell,,3.000,Porcentaje sobre el precio total,Todos los consumidores
FUEL IBERIA S.L.U.,IDS,Tarjeta dirigida al transporte profesional con planes de descuento individualizados,31/12/2099,4.000,Céntimos de euro en cada litro,Transportistas profesionales
"DISA RETAIL ATLANTICO, S.L.U",TARJETA DISA,"TARJETA QUE PERMITE UN DESCUENTO VARIABLE POR CLIENTE. .EL DESCUENTO ES FRUTO DE UNA NEGOCIACION POR CLIENTE Y EN FUNCION DE SU POTENCIAL DE CONSUMO, PARTIENDO DE UN DESCUENTO MINIMO DE 6 €/M3. EN TODA LA RED.",,0.600,Céntimos de euro en cada litro,Todos los consumidores
